FIRST NAME, LAST NAME, DISPLAY NAME, USER ID, PASSWORD, MANAGER USER ID, DEPARTMENT, PIN, DEFAULT PROFILE, USER LOCALE, TELEPHONE NUMBER, CONTROLLED DEVICE 1, CONTROLLED DEVICE 2, CONTROLLED DEVICE 3, CONTROLLED DEVICE 4, CONTROLLED DEVICE 5, CONTROLLED DEVICE 6, CONTROLLED DEVICE 7, CONTROLLED DEVICE 8, PASSWORD IMSINFO, PIN IMSINFO, USER PKID
pod2,user1,pod2 user1,pod2user1,NULL,,,NULL,,,201,,,,,,,,,0,0,80105042-fa46-626c-68b7-3370146098a3
pod2,user2,pod2 user2,pod2user2,NULL,,,NULL,,,202,,,,,,,,,0,0,aec74a87-398a-e483-4f20-81abedd79a2d
pod3,user1,pod3 user1,pod3user1,NULL,,,NULL,,,301,,,,,,,,,0,0,8abbeac1-a715-a1d8-dcc7-7b09769a00fb
pod3,user2,pod3 user2,pod3user2,NULL,,,NULL,,,302,,,,,,,,,0,0,ec1f5b1b-a320-36ad-615a-e1eb06b05890
pod4,user1,pod4 user1,pod4user1,NULL,,,NULL,,,401,,,,,,,,,0,0,abc8495d-f337-381e-2061-02527fd2748f
pod4,user2,pod4 user2,pod4user2,NULL,,,NULL,,,402,,,,,,,,,0,0,5191967a-e931-d314-1483-bd556179168c
pod5,user1,pod5 user1,pod5user1,NULL,,,NULL,,,501,,,,,,,,,0,0,073c1707-5370-4581-24a6-844093664720
pod5,user2,pod5 user2,pod5user2,NULL,,,NULL,,,502,,,,,,,,,0,0,67639dca-a3eb-4f7a-9193-ca5f37f4ee3a
pod6,user1,pod6user1,pod6user1,NULL,,,NULL,,,601,,,,,,,,,0,0,e52ca0d1-921d-18d3-a685-029b284b0450
PMR,pod6user1.space,pod6user1space,pod6user1.space,dbe8d83e83498138a64f049e0e43e09883883ab7,,,NULL,,,15601,,,,,,,,,1,0,96f0de7b-bafb-ea53-460a-98ee554914eb
pod6,user2,pod6 user2,pod6user2,NULL,,,NULL,,,602,,,,,,,,,0,0,837c05d0-a459-beac-d3c9-1cc501246571
PMR,pod6user2.space,,pod6user2.space,217f8ea38fa9e316b54113ca9eb75b224c6a876e,,,NULL,,,15602,,,,,,,,,1,0,f27e006c-df89-47c0-eeca-aba2c29e15f9
pod7,user1,pod7 user1,pod7user1,NULL,,,NULL,,,701,,,,,,,,,0,0,b4704ba4-e579-f1f1-1912-c117adbc1426
